id,track_id,collection_id
1,40,1
2,44,1
3,52,1
4,54,1
5,56,1
6,66,1
7,64,1
8,65,1
9,74,1
10,78,1
11,102,1
12,108,1
13,113,1
14,105,1
15,40,2
16,42,2
17,44,2
18,52,2
19,54,2
20,56,2
21,65,2
22,66,2
23,78,2
24,108,2
25,127,3
26,129,3
27,138,3
28,154,3
29,155,3
30,170,3
31,182,3
32,184,3
33,180,3
34,202,3
35,157,3
36,125,3
37,246,4
38,247,4
39,258,4
40,249,4
41,260,4
42,261,4
43,276,4
44,272,4
45,283,4
46,277,4
47,285,4
48,287,4
49,286,4
50,258,5
51,247,5
52,260,5
53,276,5
54,272,5
55,285,5
56,305,5
57,298,5
58,307,5
59,608,6
60,635,6
61,633,6
62,619,6
63,621,6
64,623,6
65,620,6
66,649,6
67,655,6
68,650,6
69,652,6
70,658,6
71,630,6
72,678,7
73,685,7
74,689,7
75,661,7
76,693,7
77,674,7
78,679,7
79,726,7
80,694,7
81,701,7
82,675,7
83,703,7
84,718,7
85,673,7
86,708,7
87,683,7
88,696,7
